timestamp,date,hour,daypart,day_of_week,month,month_num,country,continent,endpoint,method,status_code,bytes_sent,duration_ms,age_group,gender,ip_address,user_agent
2025-01-01 00:08:08,2025-01-01,0,Night,Wednesday,January,1,India,Asia,/ai-assistant,GET,200,7714,805,18-24,Male,184.151.251.173,Safari/iOS
2025-01-01 00:10:53,2025-01-01,0,Night,Wednesday,January,1,United States,North America,/,GET,200,65235,1224,35-44,Male,122.232.213.192,Safari/Mac
2025-01-01 00:18:35,2025-01-01,0,Night,Wednesday,January,1,Botswana,Africa,/ai-assistant,POST,200,14433,1266,25-34,Male,102.129.138.129,Safari/Mac
2025-01-01 01:19:46,2025-01-01,1,Night,Wednesday,January,1,United Kingdom,Europe,/ai-assistant,GET,200,49895,1740,35-44,Non-binary,190.144.1.194,Safari/iOS
2025-01-01 01:57:53,2025-01-01,1,Night,Wednesday,January,1,United States,North America,/,GET,200,29121,419,18-24,Female,192.21.9.40,Chrome/Android
2025-01-01 02:14:23,2025-01-01,2,Night,Wednesday,January,1,Kenya,Africa,/,GET,200,32649,1225,25-34,Female,196.104.98.188,Safari/iOS
2025-01-01 02:21:08,2025-01-01,2,Night,Wednesday,January,1,United Kingdom,Europe,/schedule-demo,GET,200,63136,1741,18-24,Female,204.9.184.233,Chrome/Windows
2025-01-01 02:32:21,2025-01-01,2,Night,Wednesday,January,1,South Africa,Africa,/ai-assistant,GET,200,15799,418,45-54,Male,162.23.140.175,Firefox/Windows
2025-01-01 02:40:55,2025-01-01,2,Night,Wednesday,January,1,United States,North America,/ai-assistant,GET,200,41498,1860,25-34,Female,206.95.188.130,Safari/iOS
2025-01-01 02:49:13,2025-01-01,2,Night,Wednesday,January,1,India,Asia,/,GET,200,58117,2853,35-44,Male,200.235.21.162,Safari/Mac
2025-01-01 02:59:07,2025-01-01,2,Night,Wednesday,January,1,Botswana,Africa,/schedule-demo,GET,200,23530,2286,25-34,Female,177.213.180.101,Safari/Mac
2025-01-01 03:34:26,2025-01-01,3,Night,Wednesday,January,1,United States,North America,/ai-assistant,GET,200,32606,1932,55+,Female,148.40.210.171,Firefox/Windows
2025-01-01 03:34:51,2025-01-01,3,Night,Wednesday,January,1,United Kingdom,Europe,/ai-assistant,GET,200,52439,397,35-44,Male,213.146.3.44,Chrome/Android
